"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get course","LMS service","2026-06-17","passed","2026-06-17","Get entities","Courses","",""
"","551","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","273","Create file with empty filename","LMS service","2026-06-17","passed","2026-06-17","Validate entity","Files","",""
"","20","Update exercise","LMS service","2026-06-17","passed","2026-06-17","Update entity","Exercises","",""
"","300","Get empty file","LMS service","2026-06-17","passed","2026-06-17","Get entity","Files","",""
"","0","test_regression_case","tests.pytest","2026-06-17","passed","2026-06-17","","test_pytest_markers","",""
"","556","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","17","Get exercises","LMS service","2026-06-17","passed","2026-06-17","Get entities","Exercises","",""
"","27","Create file","LMS service","2026-06-17","passed","2026-06-17","Create entity","Files","",""
"","555","Login with correct email and password","LMS service","2026-06-17","passed","2026-06-17","Login","Authentication","",""
"","24","Create exercise","LMS service","2026-06-17","passed","2026-06-17","Create entity","Exercises","",""
"","49","Create course","LMS service","2026-06-17","passed","2026-06-17","Create entity","Courses","",""
"","273","Create file with empty directory","LMS service","2026-06-17","passed","2026-06-17","Validate entity","Files","",""
"","295","Delete exercise","LMS service","2026-06-17","passed","2026-06-17","Delete entity","Exercises","",""
"","13","Get user me","LMS service","2026-06-17","passed","2026-06-17","Get entity","Users","",""
"","301","Update course","LMS service","2026-06-17","passed","2026-06-17","Update entity","Courses","",""
"","291","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","14","Get file","LMS service","2026-06-17","passed","2026-06-17","Get entity","Files","",""
"","17","Get exercise","LMS service","2026-06-17","passed","2026-06-17","Get entity","Exercises","",""
"","271","Create file with incorrect file id","LMS service","2026-06-17","passed","2026-06-17","Validate entity","Files","",""
