"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create file with incorrect file id","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","558","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","552","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","560","Login with correct email and password","LMS service","2026-06-18","passed","2026-06-18","Login","Authentication","",""
"","20","Get exercises","LMS service","2026-06-18","passed","2026-06-18","Get entities","Exercises","",""
"","15","Get exercise","LMS service","2026-06-18","passed","2026-06-18","Get entity","Exercises","",""
"","26","Create file with empty filename","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","13","Get user me","LMS service","2026-06-18","passed","2026-06-18","Get entity","Users","",""
"","20","Create file","LMS service","2026-06-18","passed","2026-06-18","Create entity","Files","",""
"","18","Get file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","0","test_regression_case","tests.pytest","2026-06-18","passed","2026-06-18","","test_pytest_markers","",""
"","307","Update course","LMS service","2026-06-18","passed","2026-06-18","Update entity","Courses","",""
"","23","Update exercise","LMS service","2026-06-18","passed","2026-06-18","Update entity","Exercises","",""
"","270","Create file with empty directory","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","302","Create course","LMS service","2026-06-18","passed","2026-06-18","Create entity","Courses","",""
"","302","Get course","LMS service","2026-06-18","passed","2026-06-18","Get entities","Courses","",""
"","299","Get empty file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","19","Delete exercise","LMS service","2026-06-18","passed","2026-06-18","Delete entity","Exercises","",""
"","290","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","21","Create exercise","LMS service","2026-06-18","passed","2026-06-18","Create entity","Exercises","",""
