"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Create course","LMS service","2026-06-17","passed","2026-06-17","Create entity","Courses","",""
"","552","Login with correct email and password","LMS service","2026-06-17","passed","2026-06-17","Login","Authentication","",""
"","21","Get exercise","LMS service","2026-06-17","passed","2026-06-17","Get entity","Exercises","",""
"","270","Create file with empty filename","LMS service","2026-06-17","passed","2026-06-17","Validate entity","Files","",""
"","28","Get course","LMS service","2026-06-17","passed","2026-06-17","Get entities","Courses","",""
"","289","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","15","Get exercises","LMS service","2026-06-17","passed","2026-06-17","Get entities","Exercises","",""
"","18","Update exercise","LMS service","2026-06-17","passed","2026-06-17","Update entity","Exercises","",""
"","21","Delete exercise","LMS service","2026-06-17","passed","2026-06-17","Delete entity","Exercises","",""
"","13","Get file","LMS service","2026-06-17","passed","2026-06-17","Get entity","Files","",""
"","0","test_regression_case","tests.pytest","2026-06-17","passed","2026-06-17","","test_pytest_markers","",""
"","273","Create file with empty directory","LMS service","2026-06-17","passed","2026-06-17","Validate entity","Files","",""
"","13","Get user me","LMS service","2026-06-17","passed","2026-06-17","Get entity","Users","",""
"","298","Update course","LMS service","2026-06-17","passed","2026-06-17","Update entity","Courses","",""
"","28","Create exercise","LMS service","2026-06-17","passed","2026-06-17","Create entity","Exercises","",""
"","534","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","267","Create file","LMS service","2026-06-17","passed","2026-06-17","Create entity","Files","",""
"","270","Create file with incorrect file id","LMS service","2026-06-17","passed","2026-06-17","Validate entity","Files","",""
"","557","Create user","LMS service","2026-06-17","passed","2026-06-17","Create entity","Users","",""
"","21","Get empty file","LMS service","2026-06-17","passed","2026-06-17","Get entity","Files","",""
