"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","Create file with empty filename","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","306","Update course","LMS service","2026-07-01","passed","2026-07-01","Update entity","Courses","",""
"","23","Update exercise","LMS service","2026-07-01","passed","2026-07-01","Update entity","Exercises","",""
"","311","Get course","LMS service","2026-07-01","passed","2026-07-01","Get entities","Courses","",""
"","22","Get exercise","LMS service","2026-07-01","passed","2026-07-01","Get entity","Exercises","",""
"","29","Create exercise","LMS service","2026-07-01","passed","2026-07-01","Create entity","Exercises","",""
"","30","Create course","LMS service","2026-07-01","passed","2026-07-01","Create entity","Courses","",""
"","266","Create file with empty directory","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","538","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","558","Login with correct email and password","LMS service","2026-07-01","passed","2026-07-01","Login","Authentication","",""
"","279","Create file with incorrect file id","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","18","Get file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","20","Get exercises","LMS service","2026-07-01","passed","2026-07-01","Get entities","Exercises","",""
"","23","Get empty file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","20","Delete exercise","LMS service","2026-07-01","passed","2026-07-01","Delete entity","Exercises","",""
"","13","Get user me","LMS service","2026-07-01","passed","2026-07-01","Get entity","Users","",""
"","291","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","561","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","264","Create file","LMS service","2026-07-01","passed","2026-07-01","Create entity","Files","",""
