"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercises","LMS service","2026-06-18","passed","2026-06-18","Get entities","Exercises","",""
"","23","Create exercise","LMS service","2026-06-18","passed","2026-06-18","Create entity","Exercises","",""
"","624","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","304","Create file with incorrect file id","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","34","Create course","LMS service","2026-06-18","passed","2026-06-18","Create entity","Courses","",""
"","625","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","21","Create file","LMS service","2026-06-18","passed","2026-06-18","Create entity","Files","",""
"","298","Create file with empty directory","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","329","Get empty file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","21","Create file with empty filename","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","322","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","321","Login with correct email and password","LMS service","2026-06-18","passed","2026-06-18","Login","Authentication","",""
"","21","Delete exercise","LMS service","2026-06-18","passed","2026-06-18","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","2026-06-18","passed","2026-06-18","Get entity","Exercises","",""
"","16","Get file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","26","Update exercise","LMS service","2026-06-18","passed","2026-06-18","Update entity","Exercises","",""
"","335","Update course","LMS service","2026-06-18","passed","2026-06-18","Update entity","Courses","",""
"","0","test_regression_case","tests.pytest","2026-06-18","passed","2026-06-18","","test_pytest_markers","",""
"","327","Get course","LMS service","2026-06-18","passed","2026-06-18","Get entities","Courses","",""
"","13","Get user me","LMS service","2026-06-18","passed","2026-06-18","Get entity","Users","",""
