"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Create course","LMS service","2026-09-21","passed","2026-09-21","Create entity","Courses","",""
"","16","Get exercises","LMS service","2026-09-21","passed","2026-09-21","Get entities","Exercises","",""
"","32","Get course","LMS service","2026-09-21","passed","2026-09-21","Get entities","Courses","",""
"","23","Get empty file","LMS service","2026-09-21","passed","2026-09-21","Get entity","Files","",""
"","37","Update course","LMS service","2026-09-21","passed","2026-09-21","Update entity","Courses","",""
"","567","Create user","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","47","Get exercise","LMS service","2026-09-21","passed","2026-09-21","Get entity","Exercises","",""
"","15","Get file","LMS service","2026-09-21","passed","2026-09-21","Get entity","Files","",""
"","531","Create user","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","270","Create file with incorrect file id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","13","Get user me","LMS service","2026-09-21","passed","2026-09-21","Get entity","Users","",""
"","274","Create file with empty directory","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","267","Create file","LMS service","2026-09-21","passed","2026-09-21","Create entity","Files","",""
"","557","Login with correct email and password","LMS service","2026-09-21","passed","2026-09-21","Login","Authentication","",""
"","23","Create exercise","LMS service","2026-09-21","passed","2026-09-21","Create entity","Exercises","",""
"","20","Update exercise","LMS service","2026-09-21","passed","2026-09-21","Update entity","Exercises","",""
"","291","Create user","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","267","Create file with empty filename","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","18","Delete exercise","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Exercises","",""
