"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create exercise","LMS service","2026-07-01","passed","2026-07-01","Create entity","Exercises","",""
"","0","test_regression_case","tests.pytest","2026-07-01","passed","2026-07-01","","test_pytest_markers","",""
"","29","Create course","LMS service","2026-07-01","passed","2026-07-01","Create entity","Courses","",""
"","298","Create file with incorrect file id","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","645","Login with correct email and password","LMS service","2026-07-01","passed","2026-07-01","Login","Authentication","",""
"","298","Create file with empty filename","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","624","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","319","Get exercises","LMS service","2026-07-01","passed","2026-07-01","Get entities","Exercises","",""
"","26","Create file","LMS service","2026-07-01","passed","2026-07-01","Create entity","Files","",""
"","16","Get exercise","LMS service","2026-07-01","passed","2026-07-01","Get entity","Exercises","",""
"","632","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","332","Update course","LMS service","2026-07-01","passed","2026-07-01","Update entity","Courses","",""
"","19","Get file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","330","Get empty file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","22","Update exercise","LMS service","2026-07-01","passed","2026-07-01","Update entity","Exercises","",""
"","303","Create file with empty directory","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","13","Get user me","LMS service","2026-07-01","passed","2026-07-01","Get entity","Users","",""
"","629","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","326","Delete exercise","LMS service","2026-07-01","passed","2026-07-01","Delete entity","Exercises","",""
"","341","Get course","LMS service","2026-07-01","passed","2026-07-01","Get entities","Courses","",""
