"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Get course","LMS service","2026-06-18","passed","2026-06-18","Get entities","Courses","",""
"","16","Get file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","559","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","552","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","268","Create file with empty filename","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","293","Delete exercise","LMS service","2026-06-18","passed","2026-06-18","Delete entity","Exercises","",""
"","267","Create file with incorrect file id","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","22","Update exercise","LMS service","2026-06-18","passed","2026-06-18","Update entity","Exercises","",""
"","25","Create file","LMS service","2026-06-18","passed","2026-06-18","Create entity","Files","",""
"","34","Create course","LMS service","2026-06-18","passed","2026-06-18","Create entity","Courses","",""
"","299","Get empty file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","555","Login with correct email and password","LMS service","2026-06-18","passed","2026-06-18","Login","Authentication","",""
"","292","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","23","Create exercise","LMS service","2026-06-18","passed","2026-06-18","Create entity","Exercises","",""
"","309","Update course","LMS service","2026-06-18","passed","2026-06-18","Update entity","Courses","",""
"","17","Get exercise","LMS service","2026-06-18","passed","2026-06-18","Get entity","Exercises","",""
"","0","test_regression_case","tests.pytest","2026-06-18","passed","2026-06-18","","test_pytest_markers","",""
"","269","Create file with empty directory","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","18","Get exercises","LMS service","2026-06-18","passed","2026-06-18","Get entities","Exercises","",""
"","13","Get user me","LMS service","2026-06-18","passed","2026-06-18","Get entity","Users","",""
