"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","321","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","21","Update exercise","LMS service","2026-06-18","passed","2026-06-18","Update entity","Exercises","",""
"","15","Get exercise","LMS service","2026-06-18","passed","2026-06-18","Get entity","Exercises","",""
"","302","Create file with empty filename","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","320","Login with correct email and password","LMS service","2026-06-18","passed","2026-06-18","Login","Authentication","",""
"","322","Delete exercise","LMS service","2026-06-18","passed","2026-06-18","Delete entity","Exercises","",""
"","24","Create file","LMS service","2026-06-18","passed","2026-06-18","Create entity","Files","",""
"","307","Create file with empty directory","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","12","Get file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","330","Get course","LMS service","2026-06-18","passed","2026-06-18","Get entities","Courses","",""
"","1","test_regression_case","tests.pytest","2026-06-18","passed","2026-06-18","","test_pytest_markers","",""
"","624","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","330","Update course","LMS service","2026-06-18","passed","2026-06-18","Update entity","Courses","",""
"","19","Create exercise","LMS service","2026-06-18","passed","2026-06-18","Create entity","Exercises","",""
"","619","Create user","LMS service","2026-06-18","passed","2026-06-18","Create entity","Users","",""
"","327","Get empty file","LMS service","2026-06-18","passed","2026-06-18","Get entity","Files","",""
"","306","Create file with incorrect file id","LMS service","2026-06-18","passed","2026-06-18","Validate entity","Files","",""
"","317","Get exercises","LMS service","2026-06-18","passed","2026-06-18","Get entities","Exercises","",""
"","28","Create course","LMS service","2026-06-18","passed","2026-06-18","Create entity","Courses","",""
"","12","Get user me","LMS service","2026-06-18","passed","2026-06-18","Get entity","Users","",""
