"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Create file","LMS service","2026-07-01","passed","2026-07-01","Create entity","Files","",""
"","299","Create file with empty directory","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","0","test_regression_case","tests.pytest","2026-07-01","passed","2026-07-01","","test_pytest_markers","",""
"","632","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","301","Create file with incorrect file id","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","15","Get exercise","LMS service","2026-07-01","passed","2026-07-01","Get entity","Exercises","",""
"","302","Create file with empty filename","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","28","Create course","LMS service","2026-07-01","passed","2026-07-01","Create entity","Courses","",""
"","13","Get user me","LMS service","2026-07-01","passed","2026-07-01","Get entity","Users","",""
"","625","Login with correct email and password","LMS service","2026-07-01","passed","2026-07-01","Login","Authentication","",""
"","333","Get empty file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","324","Delete exercise","LMS service","2026-07-01","passed","2026-07-01","Delete entity","Exercises","",""
"","339","Get course","LMS service","2026-07-01","passed","2026-07-01","Get entities","Courses","",""
"","18","Get file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","331","Update course","LMS service","2026-07-01","passed","2026-07-01","Update entity","Courses","",""
"","322","Get exercises","LMS service","2026-07-01","passed","2026-07-01","Get entities","Exercises","",""
"","26","Create exercise","LMS service","2026-07-01","passed","2026-07-01","Create entity","Exercises","",""
"","324","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","623","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","20","Update exercise","LMS service","2026-07-01","passed","2026-07-01","Update entity","Exercises","",""
